latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-3.17681,-40.0411,322.95,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,279.41,1.44,N
-3.17627,-40.0446,302.71,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,278.64,1.44,N
-3.18015,-40.04162,347.97,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,280.31,4.81,N
-3.1796,-40.04512,308.98,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,278.75,4.81,N
-3.18069,-40.03812,316.23,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,278.86,1.28,N
-3.18349,-40.04214,335.11,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,279.75,4.81,N
-3.18403,-40.03864,317.92,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,279.79,1.28,N
-3.18682,-40.04266,336.31,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,280.11,2.21,N
-3.18737,-40.03916,304.33,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,279.74,1.87,N
-3.19016,-40.04317,313.09,0.39,0.36,2021-12-27,0408,N,nominal,2.0NRT,278.47,2.21,N
-3.57846,-38.86298,299.45,0.42,0.38,2021-12-27,0408,N,nominal,2.0NRT,263.55,1.06,N
-3.59285,-38.86135,300.8,0.42,0.38,2021-12-27,0408,N,nominal,2.0NRT,271.22,0.79,N
-3.59343,-38.85759,299.7,0.42,0.38,2021-12-27,0408,N,nominal,2.0NRT,274.59,1.38,N
-15.07975,-48.94527,316.7,0.4,0.44,2021-12-27,0410,N,nominal,2.0NRT,292.33,2.13,N
-17.09323,-43.80475,300.14,0.38,0.36,2021-12-27,0410,N,nominal,2.0NRT,290.09,1.1,N
-16.63795,-47.91292,308.96,0.5,0.41,2021-12-27,0410,N,nominal,2.0NRT,290.89,1.35,N
-17.49892,-45.17554,303.69,0.39,0.36,2021-12-27,0410,N,nominal,2.0NRT,292.62,1.09,N
-17.3078,-46.36257,307.17,0.42,0.38,2021-12-27,0410,N,nominal,2.0NRT,292.19,1.25,N
