,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
3,-53.11701,-70.92951,301.17,0.46,0.47,2022-01-19,438,1,nominal,2.0NRT,279.2,0.53,N
1293,-34.10537,-70.45965,321.16,0.78,0.78,2022-01-19,433,1,nominal,2.0NRT,280.74,6.45,N
1366,-17.955029999999997,-70.24817,301.13,0.49,0.41,2022-01-19,609,1,nominal,2.0NRT,279.21,1.17,N
1369,-23.78036,-70.31815999999999,302.76,0.57,0.43,2022-01-19,609,1,nominal,2.0NRT,288.06,1.31,N
1370,-23.78436,-70.31878,302.93,0.57,0.43,2022-01-19,609,1,nominal,2.0NRT,287.47,1.31,N
1371,-23.822470000000003,-70.31935,321.01,0.57,0.43,2022-01-19,609,1,nominal,2.0NRT,287.97,3.68,N
1372,-23.82315,-70.31364,317.81,0.57,0.43,2022-01-19,609,1,nominal,2.0NRT,288.0,3.68,N
1373,-27.41457,-70.26125,311.43,0.42,0.45,2022-01-19,612,1,nominal,2.0NRT,287.81,1.41,N
1374,-27.41925,-70.25764000000001,302.76,0.42,0.45,2022-01-19,612,1,nominal,2.0NRT,288.55,1.23,N
1375,-28.480009999999996,-71.2482,310.37,0.38,0.43,2022-01-19,612,1,nominal,2.0NRT,290.18,0.95,N
1376,-32.801120000000004,-70.95376999999999,319.91,0.45,0.47,2022-01-19,614,1,nominal,2.0NRT,285.86,2.54,N
1377,-32.759440000000005,-71.47733000000001,312.79,0.42,0.45,2022-01-19,614,1,nominal,2.0NRT,283.47,1.28,N
1378,-32.76315,-71.48243000000001,298.99,0.42,0.45,2022-01-19,614,1,nominal,2.0NRT,283.05,1.28,N
1379,-33.15125,-70.8325,296.16,0.46,0.47,2022-01-19,614,1,nominal,2.0NRT,284.97,0.88,N
1380,-33.29464,-70.72766999999999,329.58,0.47,0.47,2022-01-19,614,1,nominal,2.0NRT,287.91,2.44,N
1381,-34.10559,-70.45823,337.01,0.49,0.49,2022-01-19,614,1,nominal,2.0NRT,287.95,18.48,N
1382,-34.10608,-70.45296,295.85,0.49,0.49,2022-01-19,614,1,nominal,2.0NRT,283.22,6.63,N
1383,-37.770109999999995,-73.17381999999999,308.56,0.39,0.44,2022-01-19,616,1,nominal,2.0NRT,279.08,1.32,N
5520,-34.43685,-71.36742,337.5,0.39,0.36,2022-01-19,1836,1,low,2.0NRT,310.37,4.91,D
5522,-33.06252,-71.46489,338.12,0.39,0.36,2022-01-19,1836,1,low,2.0NRT,312.0,8.65,D
5526,-33.00117,-71.25455,341.18,0.39,0.36,2022-01-19,1836,1,nominal,2.0NRT,309.49,10.47,D
5527,-32.997840000000004,-71.2553,339.12,0.39,0.36,2022-01-19,1836,1,low,2.0NRT,313.33,10.47,D
5528,-32.998509999999996,-71.25948000000001,317.71,0.39,0.36,2022-01-19,1836,1,low,2.0NRT,322.74,24.01,D
5596,-29.954559999999997,-71.10521999999999,342.68,0.41,0.37,2022-01-19,1838,1,nominal,2.0NRT,310.28,5.47,D
5661,-27.88655,-70.18607,346.15,0.46,0.39,2022-01-19,1838,1,low,2.0NRT,317.25,10.37,D
5662,-27.88819,-70.19535,345.53,0.46,0.39,2022-01-19,1838,1,low,2.0NRT,319.7,10.33,D
5663,-27.88542,-70.20071,345.05,0.46,0.39,2022-01-19,1838,1,low,2.0NRT,318.86,5.92,D
5664,-27.87852,-70.18285,346.67,0.46,0.39,2022-01-19,1838,1,low,2.0NRT,317.99,12.18,D
5665,-27.881,-70.19682,343.56,0.46,0.39,2022-01-19,1838,1,low,2.0NRT,318.35,11.94,D
5666,-27.88182,-70.20146,346.75,0.46,0.39,2022-01-19,1838,1,low,2.0NRT,318.49,5.92,D
5667,-27.873820000000002,-70.19830999999999,346.86,0.46,0.39,2022-01-19,1838,1,low,2.0NRT,318.71,11.56,D
5668,-27.87465,-70.20299,349.59,0.46,0.39,2022-01-19,1838,1,nominal,2.0NRT,318.34,12.99,D
5669,-27.84099,-70.18155,349.92,0.46,0.39,2022-01-19,1838,1,nominal,2.0NRT,316.98,8.3,D
5676,-27.42183,-70.25838,339.67,0.46,0.39,2022-01-19,1838,1,low,2.0NRT,313.8,8.48,D
5677,-27.12237,-70.16292,353.18,0.47,0.4,2022-01-19,1838,1,nominal,2.0NRT,317.6,5.69,D
5678,-27.12319,-70.16754,356.18,0.47,0.4,2022-01-19,1838,1,low,2.0NRT,315.98,5.69,D
