,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
470,-32.80214,-70.95659,309.49,1.0,1.0,2022-04-13,1442,T,65,6.1NRT,297.3,4.84,D
471,-32.80375,-70.94588,311.11,1.0,1.0,2022-04-13,1442,T,68,6.1NRT,297.48,6.34,D
472,-32.761309999999995,-71.47025,308.76,1.02,1.01,2022-04-13,1442,T,23,6.1NRT,297.34,3.16,D
473,-33.29694,-70.72525999999999,310.44,1.0,1.0,2022-04-13,1442,T,39,6.1NRT,299.24,4.26,D
474,-34.10792,-70.46361,309.99,1.0,1.0,2022-04-13,1442,T,53,6.1NRT,298.29,4.59,D
475,-34.10946,-70.45279000000001,325.61,1.0,1.0,2022-04-13,1442,T,83,6.1NRT,298.7,18.9,D
476,-34.407920000000004,-70.99701999999999,307.76,1.0,1.0,2022-04-13,1442,T,49,6.1NRT,291.92,5.26,D
477,-35.9246,-71.69669,315.92,1.0,1.0,2022-04-13,1442,T,75,6.1NRT,290.97,13.4,D
478,-35.92625,-71.6856,304.45,1.0,1.0,2022-04-13,1442,T,56,6.1NRT,291.61,5.25,D
479,-36.33811,-71.07283000000001,316.83,1.0,1.0,2022-04-13,1442,T,72,6.1NRT,300.79,12.91,D
480,-36.33972,-71.06164,316.84,1.0,1.0,2022-04-13,1442,T,61,6.1NRT,295.01,12.54,D
481,-36.51086,-71.96394000000001,317.59,1.0,1.0,2022-04-13,1442,T,78,6.1NRT,292.35,14.19,D
482,-36.51254,-71.95275,323.91,1.0,1.0,2022-04-13,1442,T,83,6.1NRT,291.91,20.58,D
483,-37.03689,-72.38991999999999,300.0,1.01,1.0,2022-04-13,1442,T,10,6.1NRT,287.66,2.32,D
485,-37.644040000000004,-72.21696,323.18,1.0,1.0,2022-04-13,1444,T,82,6.1NRT,288.88,22.12,D
831,-36.57757,-72.02194,316.18,3.11,1.67,2022-04-14,1524,T,76,6.1NRT,296.27,59.43,D
832,-36.579640000000005,-71.98678000000001,339.91,3.13,1.68,2022-04-14,1524,T,92,6.1NRT,295.8,212.38,D
833,-36.70494,-71.83125,305.36,3.21,1.7,2022-04-14,1524,T,46,6.1NRT,294.4,26.24,D
834,-37.46635,-72.36726,302.62,3.02,1.65,2022-04-14,1526,T,46,6.1NRT,290.34,13.85,D
983,-32.79882,-70.95467,304.66,3.35,1.73,2022-04-14,1524,T,50,6.1NRT,294.53,22.93,D
1034,-37.0045,-72.06706,301.82,1.04,1.02,2022-04-15,328,T,44,6.1NRT,278.18,9.11,N
1035,-34.10791,-70.45786,306.1,1.01,1.01,2022-04-15,330,T,67,6.1NRT,281.73,10.92,N
