,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
338,-41.44942,-71.6973,307.02,1.06,1.03,2022-02-15,346,T,70,6.1NRT,283.45,11.04,N
339,-38.202659999999995,-72.51231,301.95,1.08,1.04,2022-02-15,346,T,45,6.1NRT,287.81,7.21,N
340,-38.077259999999995,-71.93199,312.89,1.13,1.06,2022-02-15,346,T,77,6.1NRT,291.1,14.55,N
341,-38.075109999999995,-71.93848,313.43,1.13,1.06,2022-02-15,346,T,87,6.1NRT,291.06,15.22,N
342,-38.13285,-72.29120999999999,300.04,1.1,1.05,2022-02-15,346,T,5,6.1NRT,285.76,6.27,N
343,-38.067840000000004,-71.95456999999999,300.68,1.13,1.06,2022-02-15,346,T,29,6.1NRT,288.98,5.9,N
344,-38.10103,-72.15608,307.56,1.11,1.05,2022-02-15,346,T,32,6.1NRT,288.34,10.21,N
345,-38.12348,-72.29375,302.19,1.1,1.05,2022-02-15,346,T,47,6.1NRT,285.69,7.79,N
346,-38.07277,-72.16364,307.77,1.11,1.05,2022-02-15,346,T,55,6.1NRT,288.41,10.48,N
347,-37.86071,-72.29751999999999,300.88,1.1,1.05,2022-02-15,346,T,31,6.1NRT,288.75,5.52,N
348,-37.862770000000005,-72.30999,302.61,1.1,1.05,2022-02-15,346,T,50,6.1NRT,288.36,6.62,N
349,-37.85758,-72.3047,309.01,1.1,1.05,2022-02-15,346,T,76,6.1NRT,288.88,11.89,N
350,-37.739340000000006,-72.12563,302.39,1.12,1.06,2022-02-15,346,T,49,6.1NRT,287.17,7.58,N
358,-34.10772,-70.45243,304.85,1.56,1.23,2022-02-15,346,T,62,6.1NRT,287.73,16.44,N
359,-34.10814,-70.45768000000001,307.46,1.56,1.23,2022-02-15,346,T,71,6.1NRT,287.65,18.48,N
426,-38.07127,-71.93421,308.07,1.65,1.26,2022-02-15,533,A,29,6.1NRT,288.7,18.44,N
427,-38.06707,-71.93961,306.28,1.65,1.26,2022-02-15,533,A,67,6.1NRT,288.58,17.99,N
428,-38.07059,-71.92244000000001,305.34,1.65,1.26,2022-02-15,533,A,64,6.1NRT,288.17,16.35,N
729,-34.10946,-70.46373,320.91,1.07,1.03,2022-02-15,1448,T,64,6.1NRT,308.63,7.93,D
730,-34.11095,-70.45229,330.37,1.07,1.03,2022-02-15,1448,T,82,6.1NRT,308.42,20.24,D
731,-37.955009999999994,-72.43026,311.21,1.02,1.01,2022-02-15,1450,T,55,6.1NRT,298.61,5.36,D
732,-38.05032,-71.93204,309.06,1.04,1.02,2022-02-15,1450,T,21,6.1NRT,293.67,6.95,D
733,-38.067009999999996,-71.94868000000001,327.93,1.04,1.02,2022-02-15,1450,T,82,6.1NRT,297.02,25.69,D
734,-38.101279999999996,-72.1673,308.23,1.03,1.01,2022-02-15,1450,T,32,6.1NRT,291.35,6.83,D
735,-38.10285,-72.1556,343.01,1.03,1.01,2022-02-15,1450,T,92,6.1NRT,293.79,49.37,D
736,-38.104420000000005,-72.14388000000001,325.02,1.03,1.01,2022-02-15,1450,T,80,6.1NRT,292.76,22.1,D
737,-38.131159999999994,-72.29418000000001,319.26,1.02,1.01,2022-02-15,1450,T,74,6.1NRT,302.14,10.57,D
738,-38.14029,-72.2961,369.16,1.02,1.01,2022-02-15,1450,T,100,6.1NRT,303.58,109.71,D
739,-38.141890000000004,-72.28442,354.37,1.03,1.01,2022-02-15,1450,T,97,6.1NRT,303.64,66.93,D
740,-41.45794,-71.69501,318.05,1.12,1.06,2022-02-15,1452,T,63,6.1NRT,289.55,17.45,D
2130,-41.4619,-71.69955,333.52,1.36,1.15,2022-02-15,1912,A,0,6.1NRT,297.42,47.56,D
2131,-41.44931,-71.6907,317.81,1.36,1.16,2022-02-15,1912,A,68,6.1NRT,296.2,20.85,D
2132,-41.45183,-71.70397,370.78,1.36,1.15,2022-02-15,1912,A,87,6.1NRT,299.53,183.36,D
2133,-40.12015,-72.38569,320.0,1.34,1.15,2022-02-15,1912,A,0,6.1NRT,301.14,19.98,D
2134,-38.40419,-73.23495,317.45,1.31,1.13,2022-02-15,1912,A,67,6.1NRT,294.91,21.83,D
2135,-38.145579999999995,-72.29305,327.56,1.48,1.2,2022-02-15,1912,A,77,6.1NRT,312.68,24.9,D
2136,-38.105979999999995,-72.14591,324.04,1.51,1.21,2022-02-15,1912,A,72,6.1NRT,297.63,32.8,D
2137,-38.10915,-72.16233000000001,321.78,1.5,1.21,2022-02-15,1912,A,68,6.1NRT,297.19,27.73,D
2138,-38.115809999999996,-72.37338000000001,353.84,1.46,1.2,2022-02-15,1912,A,97,6.1NRT,303.18,107.32,D
2139,-38.11882,-72.38899,333.37,1.46,1.19,2022-02-15,1912,A,83,6.1NRT,303.51,43.02,D
2140,-38.105129999999996,-72.37643,382.38,1.46,1.2,2022-02-15,1912,A,100,6.1NRT,310.36,267.65,D
2141,-38.10818,-72.39220999999999,358.35,1.46,1.19,2022-02-15,1912,A,99,6.1NRT,306.83,125.65,D
2142,-38.10403,-72.3821,351.29,1.46,1.2,2022-02-15,1912,A,95,6.1NRT,309.56,93.43,D
2143,-37.73632,-72.10275,320.19,1.54,1.22,2022-02-15,1912,A,41,6.1NRT,300.12,17.08,D
2174,-38.094809999999995,-72.37144,301.01,3.57,1.77,2022-02-16,251,T,37,6.1NRT,283.63,43.74,N
2175,-38.103640000000006,-72.3765,305.38,3.57,1.77,2022-02-16,251,T,64,6.1NRT,283.65,60.41,N
