,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
588,-22.325110000000002,-69.68488,298.01,0.39,0.44,2022-02-09,527,N,nominal,2.0NRT,283.05,0.62,N
670,-23.78418,-70.31824,304.36,0.4,0.44,2022-02-09,527,N,nominal,2.0NRT,287.12,0.87,N
671,-23.82251,-70.31837,332.4,0.4,0.44,2022-02-09,527,N,nominal,2.0NRT,289.85,3.19,N
672,-23.82326,-70.3145,315.78,0.4,0.44,2022-02-09,527,N,nominal,2.0NRT,286.74,3.19,N
1010,-27.357409999999998,-70.2224,303.03,0.52,0.42,2022-02-09,529,N,nominal,2.0NRT,287.82,0.97,N
1011,-27.35837,-70.22426,302.62,0.52,0.42,2022-02-09,529,N,nominal,2.0NRT,287.63,1.03,N
1049,-32.80068,-70.9515,302.0,0.47,0.4,2022-02-09,529,N,nominal,2.0NRT,288.01,0.99,N
1050,-32.804320000000004,-70.95245,299.33,0.47,0.4,2022-02-09,529,N,nominal,2.0NRT,287.7,0.99,N
1052,-33.294309999999996,-70.72841,329.13,0.45,0.39,2022-02-09,531,N,nominal,2.0NRT,292.7,2.32,N
1053,-33.29788,-70.72936,300.42,0.45,0.39,2022-02-09,531,N,nominal,2.0NRT,290.05,2.32,N
1054,-33.37978,-70.81559,308.51,0.45,0.39,2022-02-09,531,N,nominal,2.0NRT,286.71,0.79,N
1057,-34.10535,-70.45362,332.84,0.43,0.38,2022-02-09,531,N,nominal,2.0NRT,289.65,3.62,N
1058,-34.104490000000006,-70.45833,314.28,0.43,0.38,2022-02-09,531,N,nominal,2.0NRT,287.88,2.8,N
1059,-34.10882,-70.4547,299.54,0.43,0.38,2022-02-09,531,N,nominal,2.0NRT,287.71,1.02,N
1060,-34.20316,-70.73486,301.42,0.44,0.38,2022-02-09,531,N,nominal,2.0NRT,288.59,0.8,N
1063,-35.82846,-72.25555,354.35,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,297.04,6.65,N
1064,-35.82743,-72.26082,318.06,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.06,6.65,N
1065,-35.83109,-72.26194,338.89,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,294.21,6.65,N
1066,-35.830059999999996,-72.26719,306.07,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.76,1.08,N
1067,-35.83212,-72.25668,308.8,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.8,6.65,N
1068,-35.834179999999996,-72.24611,306.23,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.41,1.53,N
1069,-35.8368,-72.25254,337.81,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,294.93,2.67,N
1070,-35.83267,-72.27362,301.49,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.43,1.79,N
1071,-35.83473,-72.26308,304.21,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.94,1.13,N
1072,-35.83784,-72.24718,308.2,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.35,2.67,N
1073,-35.83736,-72.26947,328.76,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,293.38,1.79,N
1074,-35.83631,-72.27481,303.47,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.02,1.79,N
1075,-35.83838,-72.26423,306.81,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.67,1.13,N
1076,-35.84045,-72.25366,312.62,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.12,2.67,N
1077,-35.842040000000004,-72.26534000000001,334.18,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,295.39,6.63,N
1078,-35.84101,-72.27060999999999,307.01,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.2,1.56,N
1079,-35.8441,-72.25478000000001,304.15,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.87,3.37,N
1080,-35.84673,-72.26111999999999,340.39,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,298.42,6.63,N
1081,-35.84776,-72.25585,329.38,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,293.11,3.37,N
1082,-35.84362,-72.27705999999999,301.71,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.52,1.56,N
1083,-35.845690000000005,-72.26644,318.95,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,293.59,6.63,N
1084,-35.8452,-72.28882,320.09,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,290.05,1.82,N
1085,-35.84937,-72.26746999999999,329.92,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,294.94,5.99,N
1086,-35.8504,-72.26214,349.87,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,297.04,5.99,N
1087,-35.84728,-72.27814000000001,302.84,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.53,2.23,N
1088,-35.84832,-72.27280999999999,303.07,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.4,2.23,N
1089,-35.85199,-72.27384,332.41,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,294.97,2.23,N
1090,-35.85303,-72.26849,330.84,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,295.28,5.99,N
1091,-35.854079999999996,-72.26315,328.59,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.27,5.99,N
1092,-35.84887,-72.28988000000001,301.58,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,290.96,1.82,N
1093,-35.85566,-72.2749,320.67,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,293.88,2.13,N
1094,-35.852540000000005,-72.29095,303.98,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.64,2.31,N
1095,-35.854620000000004,-72.28026,309.83,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.92,2.13,N
1096,-35.85671,-72.26954,319.37,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,293.23,2.0,N
1097,-35.85933,-72.27597,316.3,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,293.15,2.13,N
1098,-35.86037,-72.27060999999999,315.68,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.24,2.0,N
1099,-35.8656,-72.28354,303.88,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.55,1.69,N
1100,-35.86822,-72.29,302.65,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.83,2.02,N
1101,-35.86926,-72.28465,308.81,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,290.88,1.13,N
1102,-36.1583,-72.30882,332.29,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,301.02,27.43,N
1103,-36.15933,-72.30354,314.07,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,293.46,4.07,N
1104,-36.16037,-72.29823,304.35,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.48,4.07,N
1105,-36.16196,-72.30986999999999,335.55,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,298.74,33.27,N
1106,-36.16299,-72.30457,316.02,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.48,7.04,N
1107,-36.16505,-72.29399000000001,302.8,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.91,0.96,N
1108,-36.16563,-72.31084,336.69,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,301.15,33.27,N
1109,-36.16825,-72.31718000000001,331.4,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,294.02,7.02,N
1110,-36.1693,-72.31178,344.96,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,294.2,7.02,N
1111,-36.17136,-72.30124,313.17,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.76,1.91,N
1112,-36.17089,-72.3235,323.91,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.35,4.69,N
1113,-36.17192,-72.31818,336.72,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,295.44,7.02,N
1114,-36.172979999999995,-72.31275,325.41,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.5,7.02,N
1115,-36.17504,-72.30212,327.64,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,293.33,1.91,N
1116,-36.17402,-72.30742,304.2,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.93,1.91,N
1117,-36.17456,-72.32446999999999,309.21,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.09,1.55,N
1118,-36.17559,-72.31915,306.55,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.1,1.05,N
1119,-36.17665,-72.31374,303.07,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,292.19,1.05,N
1120,-36.17873,-72.30303,301.54,0.48,0.4,2022-02-09,531,N,nominal,2.0NRT,291.42,0.91,N
1121,-36.86739,-71.37738,327.6,0.43,0.38,2022-02-09,531,N,nominal,2.0NRT,290.02,7.38,N
1127,-37.51429,-72.65566,300.87,0.47,0.4,2022-02-09,531,N,nominal,2.0NRT,290.61,0.92,N
1142,-37.816759999999995,-72.40138,299.75,0.46,0.39,2022-02-09,531,N,nominal,2.0NRT,286.63,0.53,N
1143,-37.64861,-73.44412,301.5,0.5,0.41,2022-02-09,531,N,nominal,2.0NRT,283.76,0.79,N
1144,-37.92253,-72.54086,331.95,0.46,0.39,2022-02-09,531,N,nominal,2.0NRT,288.54,2.64,N
