,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,Fuente,brightness,bright_t31,Coordenadas,Locacion,road,city,county,state,country,country_code,industrial,town,isolated_dwelling,hamlet,postcode,building,neighbourhood,region,suburb,amenity,man_made,village,office,historic,aeroway,tourism,state_district,highway,Comuna,REGION,PROVINCIA,COMUNA,ComunaUpper,raw,level_0,index,NOM_REGION,NOM_PROVINCIA
8458,-38.06152,-72.20348,,2.86,1.61,2022-02-18,416,T,67,6.1NRT,,43.04,N,MODIS,306.07,283.4,"-38.06152,-72.20348","Cruce Longitudinal (Collipulli) - Termas de Pemehue, Fundo Santa Rosa de Curaco, Collipulli, Provincia de Malleco, Región de la Araucanía, Chile",Cruce Longitudinal (Collipulli) - Termas de Pemehue,,Provincia de Malleco,Región de la Araucanía,Chile,cl,,Collipulli,Fundo Santa Rosa de Curaco,,,,,,,,,,,,,,,,Collipulli,9.0,92.0,9202.0,COLLIPULLI,"{'place_id': 64263393, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5885492557, 'lat': '-38.0184464', 'lon': '-72.1074236', 'display_name': 'La Suerte, Collipulli, Provincia de Malleco, Región de la Araucanía, Chile', 'address': {'hamlet': 'La Suerte', 'town': 'Collipulli', 'county': 'Provincia de Malleco', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.0384464', '-37.9984464', '-72.1274236', '-72.0874236']}",2.0,13064.0,REGIÓN DE LA ARAUCANÍA,MALLECO
8459,-38.13536,-72.51216,,2.73,1.58,2022-02-18,416,T,44,6.1NRT,,31.76,N,MODIS,301.7,283.54,"-38.13536,-72.51216","Traiguén, Provincia de Malleco, Región de la Araucanía, Chile",,,Provincia de Malleco,Región de la Araucanía,Chile,cl,,Traiguén,,,,,,,,,,,,,,,,,Traiguén,9.0,92.0,9210.0,TRAIGUÉN,"{'place_id': 273486650, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 924721292, 'lat': '-38.2463288', 'lon': '-72.6565366', 'display_name': 'Bajo Castillo, Traiguén, Provincia de Malleco, Región de la Araucanía, 4730000, Chile', 'address': {'neighbourhood': 'Bajo Castillo', 'town': 'Traiguén', 'county': 'Provincia de Malleco', 'state': 'Región de la Araucanía', 'postcode': '4730000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.2463288', '-38.2442554', '-72.6577059', '-72.6564583']}",3.0,13065.0,REGIÓN DE LA ARAUCANÍA,MALLECO
8460,-38.14243,-72.54191999999999,,2.71,1.58,2022-02-18,416,T,100,6.1NRT,,176.76,N,MODIS,336.65,284.76,"-38.14243,-72.54191999999999","Traiguén - Quechereguas por Las Toscas, Rinconada, Traiguén, Provincia de Malleco, Región de la Araucanía, 4730000, Chile",Traiguén - Quechereguas por Las Toscas,,Provincia de Malleco,Región de la Araucanía,Chile,cl,,Traiguén,,Rinconada,4730000,,,,,,,,,,,,,,Traiguén,9.0,92.0,9210.0,TRAIGUÉN,"{'place_id': 273486650, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 924721292, 'lat': '-38.2463288', 'lon': '-72.6565366', 'display_name': 'Bajo Castillo, Traiguén, Provincia de Malleco, Región de la Araucanía, 4730000, Chile', 'address': {'neighbourhood': 'Bajo Castillo', 'town': 'Traiguén', 'county': 'Provincia de Malleco', 'state': 'Región de la Araucanía', 'postcode': '4730000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.2463288', '-38.2442554', '-72.6577059', '-72.6564583']}",4.0,13066.0,REGIÓN DE LA ARAUCANÍA,MALLECO
8461,-38.15459,-72.54436,,2.71,1.58,2022-02-18,416,T,36,6.1NRT,,30.85,N,MODIS,300.99,283.16,"-38.15459,-72.54436","Traiguén, Provincia de Malleco, Región de la Araucanía, Chile",,,Provincia de Malleco,Región de la Araucanía,Chile,cl,,Traiguén,,,,,,,,,,,,,,,,,Traiguén,9.0,92.0,9210.0,TRAIGUÉN,"{'place_id': 273486650, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 924721292, 'lat': '-38.2463288', 'lon': '-72.6565366', 'display_name': 'Bajo Castillo, Traiguén, Provincia de Malleco, Región de la Araucanía, 4730000, Chile', 'address': {'neighbourhood': 'Bajo Castillo', 'town': 'Traiguén', 'county': 'Provincia de Malleco', 'state': 'Región de la Araucanía', 'postcode': '4730000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.2463288', '-38.2442554', '-72.6577059', '-72.6564583']}",5.0,13067.0,REGIÓN DE LA ARAUCANÍA,MALLECO
8462,-38.06162,-72.21003,,2.86,1.61,2022-02-18,416,T,61,6.1NRT,,42.69,N,MODIS,304.67,283.14,"-38.06162,-72.21003","Cruce Longitudinal (Collipulli) - Termas de Pemehue, Fundo Santa Rosa de Curaco, Collipulli, Provincia de Malleco, Región de la Araucanía, Chile",Cruce Longitudinal (Collipulli) - Termas de Pemehue,,Provincia de Malleco,Región de la Araucanía,Chile,cl,,Collipulli,Fundo Santa Rosa de Curaco,,,,,,,,,,,,,,,,Collipulli,9.0,92.0,9202.0,COLLIPULLI,"{'place_id': 64263393, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5885492557, 'lat': '-38.0184464', 'lon': '-72.1074236', 'display_name': 'La Suerte, Collipulli, Provincia de Malleco, Región de la Araucanía, Chile', 'address': {'hamlet': 'La Suerte', 'town': 'Collipulli', 'county': 'Provincia de Malleco', 'state': 'Región de la Araucanía', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.0384464', '-37.9984464', '-72.1274236', '-72.0874236']}",6.0,13068.0,REGIÓN DE LA ARAUCANÍA,MALLECO
8463,-38.13362,-72.51895999999999,,2.73,1.58,2022-02-18,416,T,88,6.1NRT,,64.5,N,MODIS,313.69,283.93,"-38.13362,-72.51895999999999","Traiguén, Provincia de Malleco, Región de la Araucanía, Chile",,,Provincia de Malleco,Región de la Araucanía,Chile,cl,,Traiguén,,,,,,,,,,,,,,,,,Traiguén,9.0,92.0,9210.0,TRAIGUÉN,"{'place_id': 273486650, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 924721292, 'lat': '-38.2463288', 'lon': '-72.6565366', 'display_name': 'Bajo Castillo, Traiguén, Provincia de Malleco, Región de la Araucanía, 4730000, Chile', 'address': {'neighbourhood': 'Bajo Castillo', 'town': 'Traiguén', 'county': 'Provincia de Malleco', 'state': 'Región de la Araucanía', 'postcode': '4730000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.2463288', '-38.2442554', '-72.6577059', '-72.6564583']}",7.0,13069.0,REGIÓN DE LA ARAUCANÍA,MALLECO
8464,-38.14053,-72.54881,,2.71,1.58,2022-02-18,416,T,100,6.1NRT,,119.74,N,MODIS,327.02,283.73,"-38.14053,-72.54881","Traiguén, Provincia de Malleco, Región de la Araucanía, Chile",,,Provincia de Malleco,Región de la Araucanía,Chile,cl,,Traiguén,,,,,,,,,,,,,,,,,Traiguén,9.0,92.0,9210.0,TRAIGUÉN,"{'place_id': 273486650, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 924721292, 'lat': '-38.2463288', 'lon': '-72.6565366', 'display_name': 'Bajo Castillo, Traiguén, Provincia de Malleco, Región de la Araucanía, 4730000, Chile', 'address': {'neighbourhood': 'Bajo Castillo', 'town': 'Traiguén', 'county': 'Provincia de Malleco', 'state': 'Región de la Araucanía', 'postcode': '4730000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.2463288', '-38.2442554', '-72.6577059', '-72.6564583']}",8.0,13070.0,REGIÓN DE LA ARAUCANÍA,MALLECO
8465,-37.99019000000001,-73.34921999999999,,2.46,1.51,2022-02-18,416,T,56,6.1NRT,,32.03,N,MODIS,303.62,280.59,"-37.990190000000005,-73.34921999999999","Tranguilboro, Cañete, Provincia de Arauco, Región del Biobío, Chile",,,Provincia de Arauco,Región del Biobío,Chile,cl,,Cañete,,Tranguilboro,,,,,,,,,,,,,,,Cañete,8.0,82.0,8206.0,CAÑETE,"{'place_id': 467347, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 214189917, 'lat': '-37.6933593', 'lon': '-73.3536972', 'display_name': 'Caramávida, Cañete, Provincia de Arauco, Región del Biobío, Chile', 'address': {'hamlet': 'Caramávida', 'town': 'Cañete', 'county': 'Provincia de Arauco', 'state': 'Región del Biobío', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-37.7133593', '-37.6733593', '-73.3736972', '-73.3336972']}",9.0,13071.0,REGIÓN DEL BIOBÍO,ARAUCO
8466,-37.99019000000001,-73.34921999999999,,2.46,1.51,2022-02-18,416,T,56,6.1NRT,,32.03,N,MODIS,303.62,280.59,"-37.990190000000005,-73.34921999999999","Tranguilboro, Cañete, Provincia de Arauco, Región del Biobío, Chile",,,Provincia de Arauco,Región del Biobío,Chile,cl,,Cañete,,Tranguilboro,,,,,,,,,,,,,,,Cañete,8.0,82.0,8203.0,CAÑETE,"{'place_id': 282574746, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1656043, 'lat': '-37.8004074', 'lon': '-73.3990802', 'display_name': 'Cañete, Provincia de Arauco, Región del Biobío, 4390000, Chile', 'address': {'town': 'Cañete', 'county': 'Provincia de Arauco', 'state': 'Región del Biobío', 'postcode': '4390000', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.1303283', '-37.6919794', '-73.5454416', '-73.015337']}",9.0,13071.0,REGIÓN DEL BIOBÍO,ARAUCO
8467,-37.59979000000001,-72.37783,,2.87,1.62,2022-02-18,416,T,92,6.1NRT,,74.32,N,MODIS,316.01,287.49,"-37.599790000000006,-72.37783","Mulchén, Provincia de Bío-Bío, Región del Biobío, 0000444, Chile",,,Provincia de Bío-Bío,Región del Biobío,Chile,cl,,Mulchén,,,0000444,,,,,,,,,,,,,,Mulchén,8.0,83.0,8308.0,MULCHÉN,"{'place_id': 282604019, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1658516, 'lat': '-37.7200884', 'lon': '-72.2441345', 'display_name': 'Mulchén, Provincia de Bío-Bío, Región del Biobío, 0000444, Chile', 'address': {'town': 'Mulchén', 'county': 'Provincia de Bío-Bío', 'state': 'Región del Biobío', 'postcode': '0000444', 'country': 'Chile', 'country_code': 'cl'}, 'boundingbox': ['-38.1886283', '-37.5566764', '-72.530735', '-71.6131235']}",10.0,13072.0,REGIÓN DEL BIOBÍO,BIOBÍO
